Sociālā joma
Lāčplēša diena
Kurā gadā dibināta Latvijas valsts?; 1918.gadā;1939.gadā;1919. gadā;1991. gadā
Kas tiek pieminēts Lāčplēša dienā?;Latvijas tautas varoņa Lāčplēša nebeidzamā cīņa ar Melno bruņinieku;Tā ir lāču medniekiem veltīta diena;Latvijas Valsts proklamēšana
KURĀ DATUMĀ TIEK ATZĪMĒTA LĀČPLĒŠA DIENA?; 18.novembrī; 11. novembrī; 1.maijā; 18.decembrī
CIK GADU IR PAGĀJIS KOPŠ ZĪMĪGĀS CĪŅAS?;98; 108; 198;97
11. NOVEMBRA KAUJU LAIKĀ PRETINIEKU ARMIJU RĪGĀ KOMANDĒJA:;Pāvels Bermonts;Ādolfs Hitlers; Rīdigers fon der Golcs; Grāfs Kellers 
Ar ko nozīmīgi šie datums  1990. gada 4. maijs?; LR Neatkarības atjaunošanas diena; LR proklamēānas diena;Lāčplēša diena
KĀDA IR SAIKNE STARP BRĪVĪBAS CĪŅĀM UN LĀČPLĒSI?;Lāčplēsis simbolizē spēku, drosmi, neatlaidību un lepnumu par savu valsti, tāpēc Latvijas karavīrus nodēvēja šī tēla vārdā;Latviešu karavīri kaujas laikā bija uzvilkuši Lāčplēša cepuri, lai iebiedētu pretiniekus un simbolizētu spēku; Galvenā cīņa notika turpat, kur Lāčplēsis cīnījās ar Melno bruņinieku;  Latvijas armija padzina Bermonta karaspēku no Rīgas tajā pašā dienā, kad radās eposs par Lāčplēsi
KĀDS APBALVOJUMS TIKA IZVEIDOTS PAR GODU LĀČPLĒŠA DIENAI?; Lāčplēša Kara ordenis; Triju Zvaigžņu ordenis; Viestura ordenis; Atzinības krusts
KURĀ LATVIEŠU FILMĀ ATTĒLOTI 1919. GADA 11. NOVEMBRA NOTIKUMI?;Rīgas Sargi; Baiga Vasara; Melānijas Hronika; Lāčplēsis
BERMONTA KARASPĒKAM BIJA 40 000 – 45 000 KARAVĪRU. CIK KAUJINIEKU BIJA LATVIJAS ARMIJĀ?; 12 000;30 000; 20 000;; 7000
LAIKĀ, KAD NOTIKA KAUJAS, LATVIJAS PAGAIDU VALDĪBAS MINISTRU PREZIDENTS BIJA:;Kārlis Ulmanis; Jānis Čakste; Guntis Ulmanis; Gustavs Zemgals
AR KO VĒL IR IEVĒROJAMAS BRĪVĪBAS CĪŅAS?;Visi varianti ir pareizi;Tā ir vienīgā reize vēsturē; kad latviešu karavīrs cīnījies savā formas tērpā;Latvija vienlaicīgi karojusi ar Krieviju un Vāciju; un abas valstis ir uzvarējusi;Latvijas brīvprātīgo armijā karoja vīrieši vecumā no 17 līdz pat 60 gadiem
