#Sociālā un pilsoniskā
#Tests vēsturē vidusskolai
jautajums;atbilde1;atbilde2;atbilde3;atbilde4
Valsts forma un politiskā iekārta, kurā augstākā vara pieder tautai:;Demokrātija;Teokrātija;Diktatūra;Oligarhija
Zemes īpašums viduslaikos, ko senjors piešķīra vasalim lietošanā par uzticīgu kalpošanu:;Feods;Muiža;Bonds;Rente
Bruņots konflikts starp vienas valsts iedzīvotājiem ekonomisku, politisku vai reliģisku iemeslu dēļ:;Pilsoņu karš;Pasaules karš;Revolūcija;Intervence
Kā sauca Vāciju nacistu diktatūras laikā?;Trešais Reihs;Ostlande;Veimāras republika;Vācu svētās Romas impērija
Jaltas konferencē piedalījās:;Čērcils, Rūzvelts, Staļins;Etlijs, Trūmens, Staļins;Loids Džordžs, Rūzvelts, Staļins;Čerčils, Rūzvelts, Gorbačovs
ASV prezidenta 1947. gada ārpolitikas dokuments, kura mērķis bija novērst komunisma ekspansiju pasaulē:;Trumena doktrīna;Dauesa plāns;Šlīfena plāns;Varšavas līgums
Peloponēsas savienība bija militāra savienība starp:;Senās Grieķijas pilsētvalstīm;Hanzas savienības pilsētām;Vidusjūras tirdzniecības pilsētām;Poliju un Lietuvu viduslaikos
Ubagotājmūku ordenis, ko dibināja Asīzes Francisks, ir:;Franciskāņu ordenis;Dominikāņu ordenis;Joanītu ordenis;Cisterciešu ordenis
Kurā gadā Eiropā sākas Lielā tautu staigāšana?;375;875;145;1145
Kalvinistus Francijā sauca par:;Hugenotiem;Puritāņiem;Anglikāņiem;Luterāņiem
Lielbritānijas vēsturē 19. gadsimtu mēdz dēvēt par viktoriānisma laikmetu, jo:;Tas ir karalienes Viktorijas valdīšanas laiks;Sākas industriālā revolūcija;Noteicošā loma valstī Viktoram Emanuelam;Sakauj spāņu neuzvaramo armādu
1949. gadā dibinātā Savstarpējās ekonomiskās palīdzības padome (SEPP) bija:;Austrumeiropas valstu savienība;Rietumeiropas valstu savienība;Eiropas savienības aizsākums;ASV dibināta organizācija
Kāda notikuma atcerei 1989. gadā bija veltīta akcija "Baltijas ceļš"?;Molotova – Ribentropa pakta noslēgšana;Saules kaujas atcere;Latvijas Republikas dibināšana;Tautas frontes dibināšana
Kurā gadā dibināja Rīgas pilsētu?;1201;1299;1301;1218
Kas ir dekolonizācija?;Koloniālās atkarības likvidācija;Valsts neatkarības zaudēšana;Tempļa kolonnu nostiprināšana senajā Grieķijā;Nācijas suverinātes paplašināšana ārpus savas teritorijas
Kurā gadā notika Ziemassvētku kaujas jeb Jelgavas operācija?;1917;1941;1949;1905
Grieķi 1821. gadā uzsāka sacelšanos, lai atbrīvotos no ... kundzības.;Osmaņu impērijas;Krievijas impērijas;Austroungārijas impērijas;Vācu Romas impērijas
Kas ir indulgence?;Dokuments, kas apliecina atbrīvošanu no grēkiem;Apgaismības laikmeta sākums;Pāvesta pilnvara;Oficiāla pieņemšana pie valsts amatpersonas
Kādu vēstures notikumu ietekmēja Nantes edikta pieņemšana?;Ticības karu beigas Francijā;Humānisma ideju strauju izplatību;Domestikāciju Itālijā;Laicīgās varas nostiprināšanos Vācu svētās Romas impērijā
Kā sauca 1943. gadā nelegāli izveidotu nacionālās pretestības organizāciju nacistu okupētajā Latvijā, kuras mērķis bija atjaunot Latvijas Republiku?;Latvijas centrālā padome;Latvijas Nacionālās neatkarības kustība;Latvijas Tautas fronte;Pilsoņu kongress
