#Sociālā joma
#Tests par Lāčplēša dienu
jautajums;atbilde1;atbilde2;atbilde3;atbilde4
Kurā gadā dibināta Latvijas valsts?; 1918.gadā;1939.gadā;1919. gadā;1991. gadā
Kas tiek pieminēts Lāčplēša dienā?;Latvijas tautas varoņa Lāčplēša nebeidzamā cīņa ar Melno bruņinieku;Tā ir lāču medniekiem veltīta diena;Latvijas Valsts proklamēšana;Lāčplēša alusdarītavas izveidošana
Kurā datumā tiek atzīmēta Lāčplēša diena?; 18.novembrī; 11. novembrī; 1.maijā; 18.decembrī
Cik gadu ir pagājis kopš zīmīgās cīņas?;98; 108; 198;97
11. novembra kauju laikā pretinieku armiju Rīgā komandēja:;Pāvels Bermonts;Ādolfs Hitlers; Rīdigers fon der Golcs; Grāfs Kellers 
Ar ko nozīmīgs šis datums - 1990. gada 4. maijs?; LR Neatkarības atjaunošanas diena; LR proklamēšanas diena; Lāčplēša diena; Vasarsvētki
Kāda ir saikne starp brīvības cīņām un Lāčplēsi?; Lāčplēsis simbolizē spēku, drosmi, neatlaidību un lepnumu par savu valsti; Latviešu karavīri kaujas laikā bija uzvilkuši Lāčplēša cepuri; Galvenā cīņa notika turpat, kur Lāčplēsis cīnījās ar Melno bruņinieku;  Latvijas armija padzina Bermonta karaspēku no Rīgas tajā pašā dienā, kad radās eposs par Lāčplēsi
Kāds apbalvojums tika izveidots par godu Lāčplēša dienai?; Lāčplēša Kara ordenis; Triju Zvaigžņu ordenis; Viestura ordenis; Atzinības krusts
Kurā latviešu filmā attēloti 1919. gada 11. novembra notikumi?; Rīgas Sargi; Baiga Vasara; Melānijas Hronika; Lāčplēsis
Bermonta karaspēkam bija 40 000 – 45 000 karavīru. Cik kaujinieku bija Latvijas armijā?; 12000; 30000; 20000; 7000
Laikā, kad notika kaujas, Latvijas pagaidu valdības ministru prezidents bija:; Kārlis Ulmanis; Jānis Čakste; Guntis Ulmanis; Gustavs Zemgals
Ar ko vēl ir ievērojamas brīvības cīņas?; Visi varianti ir pareizi; Tā ir vienīgā reize vēsturē, kad latviešu karavīrs cīnījies savā formas tērpā; Latvija vienlaicīgi karojusi ar Krieviju un Vāciju, un abas valstis ir uzvarējusi; Latvijas brīvprātīgo armijā karoja vīrieši vecumā no 17 līdz pat 60 gadiem
